Data;Moderada
17/04/2023;-0,00006
14/04/2023;0,00005
13/04/2023;0,00110
12/04/2023;0,00187
11/04/2023;0,00828
10/04/2023;0,00131
06/04/2023;-0,00032
05/04/2023;-0,00083
04/04/2023;0,00173
03/04/2023;0,00061
31/03/2023;-0,00290
30/03/2023;0,00422
29/03/2023;0,00081
28/03/2023;0,00229
27/03/2023;0,00210
24/03/2023;0,00292
23/03/2023;-0,00322
22/03/2023;0,00027
21/03/2023;0,00019
20/03/2023;-0,00134
17/03/2023;-0,00110
16/03/2023;0,00185
15/03/2023;0,00038
14/03/2023;-0,00087
13/03/2023;-0,00020
10/03/2023;-0,00251
09/03/2023;-0,00043
08/03/2023;0,00455
07/03/2023;0,00046
06/03/2023;0,00204
03/03/2023;0,00115
02/03/2023;-0,00212
01/03/2023;-0,00063
28/02/2023;-0,00156
27/02/2023;0,00077
24/02/2023;-0,00269
23/02/2023;0,00051
22/02/2023;-0,00363
17/02/2023;-0,00014
16/02/2023;0,00129
15/02/2023;0,00490
14/02/2023;-0,00048
13/02/2023;0,00115
10/02/2023;0,00113
09/02/2023;-0,00354
08/02/2023;0,00449
07/02/2023;-0,00057
06/02/2023;0,00160
03/02/2023;-0,00392
02/02/2023;-0,00240
01/02/2023;-0,00118
31/01/2023;0,00218
30/01/2023;0,00010
27/01/2023;-0,00296
26/01/2023;-0,00044
25/01/2023;0,00239
24/01/2023;0,00321
23/01/2023;-0,00100
20/01/2023;-0,00258
19/01/2023;0,00161
18/01/2023;0,00111
17/01/2023;0,00407
16/01/2023;-0,00327
13/01/2023;-0,00092
12/01/2023;0,00047
11/01/2023;0,00494
10/01/2023;0,00449
09/01/2023;0,00090
06/01/2023;0,00327
05/01/2023;0,00431
04/01/2023;0,00120
03/01/2023;-0,00447
02/01/2023;-0,00648
30/12/2022;0,00048
29/12/2022;-0,00022
28/12/2022;0,00458
27/12/2022;0,00028
26/12/2022;-0,00106
23/12/2022;0,00496
22/12/2022;0,00126
21/12/2022;0,00106
20/12/2022;0,00496
19/12/2022;0,00294
16/12/2022;-0,00208
15/12/2022;0,00067
14/12/2022;0,00067
13/12/2022;-0,00311
12/12/2022;-0,00454
09/12/2022;-0,00020
08/12/2022;-0,00280
07/12/2022;-0,00080
06/12/2022;0,00000
05/12/2022;-0,00512
02/12/2022;0,00254
01/12/2022;-0,00278
30/11/2022;0,00466
29/11/2022;0,00651
28/11/2022;0,00088
25/11/2022;-0,00527
24/11/2022;0,00646
23/11/2022;-0,00142
22/11/2022;-0,00235
21/11/2022;0,00208
18/11/2022;-0,00212
17/11/2022;-0,00064
16/11/2022;-0,00572
14/11/2022;0,00384
11/11/2022;0,00344
10/11/2022;-0,01006
09/11/2022;-0,00353
08/11/2022;0,00114
07/11/2022;-0,00547
04/11/2022;0,00177
03/11/2022;0,00012
01/11/2022;0,00149
31/10/2022;0,00499
28/10/2022;0,00068
27/10/2022;0,00393
26/10/2022;-0,00327
25/10/2022;-0,00210
24/10/2022;-0,00599
21/10/2022;0,00473
20/10/2022;0,00179
19/10/2022;0,00139
18/10/2022;0,00360
17/10/2022;0,00294
14/10/2022;-0,00274
13/10/2022;-0,00057
11/10/2022;-0,00185
10/10/2022;-0,00033
07/10/2022;-0,00145
06/10/2022;0,00077
05/10/2022;0,00196
04/10/2022;0,00005
03/10/2022;0,00994
30/09/2022;0,00545
29/09/2022;-0,00053
28/09/2022;-0,00047
27/09/2022;-0,00040
26/09/2022;-0,00492
23/09/2022;-0,00366
22/09/2022;0,00534
21/09/2022;0,00048
20/09/2022;0,00183
19/09/2022;0,00487
16/09/2022;-0,00002
15/09/2022;-0,00138
14/09/2022;0,00022
13/09/2022;-0,00375
12/09/2022;0,00118
09/09/2022;0,00407
08/09/2022;0,00124
06/09/2022;-0,00472
05/09/2022;0,00213
02/09/2022;0,00145
01/09/2022;0,00372
31/08/2022;-0,00072
30/08/2022;-0,00230
29/08/2022;-0,00065
26/08/2022;-0,00087
25/08/2022;-0,00031
24/08/2022;0,00042
23/08/2022;0,00499
22/08/2022;-0,00138
19/08/2022;-0,00368
18/08/2022;0,00059
17/08/2022;0,00038
16/08/2022;-0,00082
15/08/2022;0,00237
12/08/2022;0,00669
11/08/2022;-0,00156
10/08/2022;0,00250
09/08/2022;-0,00053
08/08/2022;0,00455
05/08/2022;0,00209
04/08/2022;0,00720
03/08/2022;0,00191
02/08/2022;0,00147
01/08/2022;-0,00108
29/07/2022;0,00223
28/07/2022;0,00316
27/07/2022;0,00366
26/07/2022;-0,00125
25/07/2022;0,00224
22/07/2022;0,00041
21/07/2022;0,00120
20/07/2022;0,00170
19/07/2022;0,00161
18/07/2022;-0,00128
15/07/2022;0,00200
14/07/2022;-0,00195
13/07/2022;0,00016
12/07/2022;0,00055
11/07/2022;-0,00421
08/07/2022;-0,00198
07/07/2022;0,00379
06/07/2022;0,00044
05/07/2022;-0,00116
04/07/2022;-0,00094
01/07/2022;0,00005
30/06/2022;-0,00081
29/06/2022;-0,00155
28/06/2022;-0,00129
27/06/2022;0,00340
24/06/2022;0,00066
23/06/2022;-0,00167
22/06/2022;-0,00039
21/06/2022;-0,00092
20/06/2022;-0,00053
17/06/2022;-0,00426
15/06/2022;0,00358
14/06/2022;-0,00124
13/06/2022;-0,00470
10/06/2022;-0,00189
09/06/2022;-0,00120
08/06/2022;-0,00172
07/06/2022;-0,00076
06/06/2022;-0,00098
03/06/2022;-0,00100
02/06/2022;0,00194
01/06/2022;0,00017
31/05/2022;0,00212
30/05/2022;-0,00232
27/05/2022;0,00018
26/05/2022;0,00318
25/05/2022;0,00072
24/05/2022;-0,00110
23/05/2022;0,00310
20/05/2022;0,00260
19/05/2022;0,00144
18/05/2022;-0,00393
17/05/2022;0,00110
16/05/2022;0,00363
13/05/2022;0,00379
12/05/2022;0,00292
11/05/2022;0,00269
10/05/2022;-0,00051
09/05/2022;-0,00319
06/05/2022;-0,00058
05/05/2022;-0,00536
04/05/2022;0,00522
03/05/2022;0,00037
02/05/2022;-0,00207
29/04/2022;-0,00268
28/04/2022;0,00216
27/04/2022;0,00262
26/04/2022;-0,00411
25/04/2022;-0,00010
22/04/2022;-0,00492
20/04/2022;-0,00030
19/04/2022;-0,00051
18/04/2022;0,00058
14/04/2022;-0,00020
13/04/2022;0,00187
12/04/2022;-0,00066
11/04/2022;-0,00370
08/04/2022;-0,00047
07/04/2022;0,00168
06/04/2022;-0,00082
05/04/2022;-0,00376
04/04/2022;0,00054
01/04/2022;0,00517
31/03/2022;-0,00029
30/03/2022;-0,00051
29/03/2022;0,00149
28/03/2022;-0,00061
25/03/2022;0,00257
24/03/2022;0,00619
23/03/2022;0,00163
22/03/2022;0,00347
21/03/2022;0,00245
18/03/2022;0,00524
17/03/2022;0,00461
16/03/2022;0,00387
15/03/2022;-0,00047
14/03/2022;-0,00298
11/03/2022;-0,00273
10/03/2022;0,00058
09/03/2022;0,00583
08/03/2022;0,00005
07/03/2022;-0,00456
04/03/2022;-0,00173
